PlayerID,Win,Player_Device,Opponent_Device,Player_Civ,Player_Civ_Category,Player_Unit_Type,Player_Preferred_Civ,Opponent_Civ,Opponent_Civ_Category,Opponent_Unit_Type,Opponent_Preferred_Civ,Player_Elo,Opponent_Elo,Player_APM,Opponent_APM,Player_Avg_Ping,Opponent_Avg_Ping,Player_Total_Hours,Opponent_Total_Hours,Game_Duration_min,Player_Session_Duration_min
1001,1,Console,Console,Mecha,Combat,Vehicles,Bio-Swarm,Iron-Legion,Balanced,Melee,Aether-Guard,1213,1128,154.7738139464268,124.36557038552445,46,25,471.1063169400413,239.68008769811914,37.450712295168486,277
1002,1,Handheld,Console,Mecha,Combat,Vehicles,Iron-Legion,Iron-Legion,Balanced,Melee,Solaris,2181,2072,193.5977487862977,237.2565417049916,114,72,310.5906684318942,416.70425067702325,27.92603548243223,165
1003,1,PC,PC,Bio-Swarm,Combat,Melee,Solaris,Mecha,Combat,Vehicles,Bio-Swarm,1898,2046,250.29353485695134,203.77284689977046,66,65,529.5081823730657,340.3763279454297,39.715328071510385,179
1004,0,Console,Handheld,Solaris,Economic,Ranged,Iron-Legion,Aether-Guard,Balanced,Ranged,Solaris,2178,2316,217.6954680507436,231.10945911342273,67,83,515.3976839449787,443.5070716415393,52.84544784612038,225
1005,1,PC,Handheld,Solaris,Economic,Ranged,Solaris,Bio-Swarm,Combat,Melee,Aether-Guard,2407,2259,277.45212444945946,208.52305410754943,76,72,703.7146606372081,560.2885374375333,26.48769937914996,13
1006,1,PC,Handheld,Aether-Guard,Balanced,Ranged,Solaris,Aether-Guard,Balanced,Ranged,Mecha,1709,1631,200.21383286855084,134.08665694350753,31,86,558.2288616472081,341.9057924688696,26.48794564576229,293
1007,0,Console,Console,Iron-Legion,Balanced,Melee,Solaris,Aether-Guard,Balanced,Ranged,Aether-Guard,987,1127,88.06312754377545,127.89713010118919,67,24,416.76962882771033,282.5224781500881,53.688192232610874,117
1008,0,PC,PC,Mecha,Combat,Vehicles,Iron-Legion,Bio-Swarm,Combat,Melee,Iron-Legion,2113,2250,235.89890203711377,250.28150297829586,58,51,582.1698408865366,400.84284368665743,41.51152093729363,209
1009,1,PC,Handheld,Mecha,Combat,Vehicles,Aether-Guard,Aether-Guard,Balanced,Ranged,Mecha,844,908,141.98222806337134,85.1506103280136,58,104,293.9611960204119,131.5723682632636,22.95788421097572,190
1010,1,Handheld,PC,Aether-Guard,Balanced,Ranged,Solaris,Mecha,Combat,Vehicles,Solaris,2396,2199,173.31672034655065,230.0546057374401,109,14,492.37186239513653,379.6273787687776,38.13840065378947,201
1011,0,PC,Console,Aether-Guard,Balanced,Ranged,Mecha,Bio-Swarm,Combat,Melee,Mecha,882,850,93.42068110390326,72.34005935407416,49,57,563.8802467191161,103.41155048060537,23.048734607813067,270
1012,0,Handheld,PC,Mecha,Combat,Vehicles,Bio-Swarm,Solaris,Economic,Ranged,Iron-Legion,1946,2026,160.09056581283798,251.472001055892,98,22,525.8635196300253,324.08007516220493,23.014053696446148,266
1013,0,Handheld,Handheld,Bio-Swarm,Combat,Melee,Aether-Guard,Aether-Guard,Balanced,Ranged,Aether-Guard,1157,1246,74.13310415127958,134.30801047140844,60,99,583.0130189871968,260.8607280124174,33.629434073490515,252
1014,1,PC,PC,Bio-Swarm,Combat,Melee,Aether-Guard,Iron-Legion,Balanced,Melee,Bio-Swarm,2351,2223,295.29959220830983,251.59936201694302,30,76,371.19079685744174,426.80905823308944,5.0,119
1015,1,PC,PC,Iron-Legion,Balanced,Melee,Iron-Legion,Bio-Swarm,Combat,Melee,Bio-Swarm,1889,1825,244.05353955706408,156.7542214928844,60,39,730.4062805619033,408.77474416308604,5.0,125
1016,1,Console,Console,Mecha,Combat,Vehicles,Aether-Guard,Solaris,Economic,Ranged,Bio-Swarm,1735,1872,185.3406361878923,183.21901434783092,23,15,864.4337898791414,358.88017575224677,21.56568706138541,145
1017,0,PC,Console,Mecha,Combat,Vehicles,Iron-Legion,Iron-Legion,Balanced,Melee,Aether-Guard,2480,2535,265.2439186504493,254.1485223564486,18,34,179.46477102828118,386.8380104509344,14.807533194983643,69
1018,0,PC,Console,Mecha,Combat,Vehicles,Iron-Legion,Solaris,Economic,Ranged,Bio-Swarm,1174,1114,174.10103733588275,106.74453246613656,27,37,256.8804008091504,244.98084003206944,34.71370998892911,280
1019,1,Console,PC,Mecha,Combat,Vehicles,Mecha,Aether-Guard,Balanced,Ranged,Iron-Legion,961,1153,64.33740148008913,152.02677123331063,22,71,508.6166016048771,129.07932120919406,16.37963886718184,243
1020,0,PC,PC,Aether-Guard,Balanced,Ranged,Solaris,Iron-Legion,Balanced,Melee,Aether-Guard,2203,2210,293.1396528029587,241.46180144805356,26,31,448.6898038894252,452.71971736908426,8.815444479970626,14
